sample_id,t,rot_err_deg,error_type
sample_0006,4,5.140597001615938,cumulative
sample_0006,5,5.445791571793523,cumulative
sample_0006,6,5.810944875127102,cumulative
sample_0007,1,2.973445077626462,relative
sample_0007,2,4.152015020185226,relative
sample_0007,3,5.670596821498255,relative
sample_0007,4,7.4098346200143785,relative
sample_0007,5,6.7469868372175945,relative
sample_0007,6,6.060641171436607,relative
sample_0007,0,0.0,cumulative
sample_0007,1,2.973445077626462,cumulative
sample_0007,2,7.107136073075283,cumulative
sample_0007,3,12.761353513040623,cumulative
sample_0007,4,20.144066920098542,cumulative
sample_0007,5,26.871887212809177,cumulative
sample_0007,6,32.929515593055875,cumulative
sample_0008,1,10.991950552065859,relative
sample_0008,2,9.683732198107766,relative
sample_0008,3,9.193316447312863,relative
sample_0008,4,3.5076396731776214,relative
sample_0008,5,4.340705059074278,relative
sample_0008,6,8.671918509898347,relative
sample_0008,0,0.0,cumulative
sample_0008,1,10.991950552065859,cumulative
sample_0008,2,20.603602665333522,cumulative
sample_0008,3,29.793776591137167,cumulative
sample_0008,4,33.294861144802574,cumulative
sample_0008,5,28.981686114548488,cumulative
sample_0008,6,20.38236642548549,cumulative
sample_0009,1,3.2093810708343407,relative
sample_0009,2,1.1941798026257289,relative
sample_0009,3,0.5313689568241236,relative
sample_0009,4,1.486907602613311,relative
sample_0009,5,0.980360475475558,relative
sample_0009,6,1.1806646273713284,relative
sample_0009,0,0.0,cumulative
sample_0009,1,3.2093810708343407,cumulative
sample_0009,2,4.2299719486722145,cumulative
sample_0009,3,4.405504067822243,cumulative
sample_0009,4,5.432956611798938,cumulative
sample_0009,5,6.341628572459321,cumulative
sample_0009,6,7.120055163539126,cumulative
sample_0010,1,2.851750660801106,relative
sample_0010,2,2.4188828885286577,relative
sample_0010,3,0.4916324695625479,relative
sample_0010,4,2.731214353803375,relative
sample_0010,5,5.825326837619143,relative
sample_0010,6,6.925342406381067,relative
sample_0010,0,0.0,cumulative
sample_0010,1,2.851750660801106,cumulative
sample_0010,2,5.244562402591725,cumulative
sample_0010,3,5.003256844346921,cumulative
sample_0010,4,3.3959421971653962,cumulative
sample_0010,5,5.3782251358874325,cumulative
sample_0010,6,11.813402990794037,cumulative
sample_0011,1,3.986802753323341,relative
sample_0011,2,6.557753526511507,relative
sample_0011,3,7.540979404167126,relative
sample_0011,4,8.079781074545954,relative
sample_0011,5,5.375378356213303,relative
sample_0011,6,4.82844878352754,relative
sample_0011,0,0.0,cumulative
sample_0011,1,3.986802753323341,cumulative
sample_0011,2,10.403850043533394,cumulative
sample_0011,3,17.87405259223084,cumulative
sample_0011,4,25.98218694739163,cumulative
sample_0011,5,31.196941497433468,cumulative
sample_0011,6,35.8221024283057,cumulative
sample_0012,1,7.687489043132011,relative
sample_0012,2,8.232442760854749,relative
sample_0012,3,11.38450741365155,relative
sample_0012,4,12.833321455310546,relative
sample_0012,5,12.622194157706186,relative
sample_0012,6,12.964369192047519,relative
sample_0012,0,0.0,cumulative
sample_0012,1,7.687489043132011,cumulative
sample_0012,2,15.919612917650506,cumulative
sample_0012,3,27.30408399128008,cumulative
sample_0012,4,40.13411712703527,cumulative
sample_0012,5,52.75054902498121,cumulative
sample_0012,6,65.71687413298531,cumulative
sample_0013,1,6.897396783513923,relative
sample_0013,2,5.118675488464684,relative
sample_0013,3,6.960032141740463,relative
sample_0013,4,8.19259834453641,relative
sample_0013,5,12.358932620592297,relative
sample_0013,6,17.09529053131802,relative
sample_0013,0,0.013988227454926254,cumulative
sample_0013,1,6.897396783513923,cumulative
sample_0013,2,11.96847136820755,cumulative
sample_0013,3,18.89455112664789,cumulative
sample_0013,4,26.996524601509122,cumulative
sample_0013,5,38.91897032939391,cumulative
sample_0013,6,55.58902940231293,cumulative
sample_0014,1,0.4514105581015324,relative
sample_0014,2,3.5897666495902203,relative
sample_0014,3,6.072764301552393,relative
sample_0014,4,8.501508311023665,relative
sample_0014,5,10.199535381976322,relative
sample_0014,6,13.079842879420141,relative
sample_0014,0,0.0,cumulative
sample_0014,1,0.4514105581015324,cumulative
sample_0014,2,4.0356990775466945,cumulative
sample_0014,3,10.097488059763837,cumulative
sample_0014,4,18.561307375259304,cumulative
sample_0014,5,28.7473091800869,cumulative
sample_0014,6,41.797165110229734,cumulative
sample_0015,1,16.587107634831998,relative
sample_0015,2,14.951367365920218,relative
sample_0015,3,15.005190360018927,relative
sample_0015,4,16.308167163262233,relative
sample_0015,5,16.99866325981357,relative
sample_0015,6,11.9223208179564,relative
sample_0015,0,0.0,cumulative
sample_0015,1,16.587107634831998,cumulative
sample_0015,2,31.526306539603635,cumulative
sample_0015,3,46.50238781585753,cumulative
sample_0015,4,62.7540020819422,cumulative
