sample_id,corruption_scale,lpips,final_pose_error_deg
sample_0000,0.0,0.38562509417533875,0.8210982469384074
sample_0001,0.0,0.33916786525930676,0.0
sample_0002,0.0,0.3269949385098049,1.189258658067435
sample_0003,0.0,0.2913783150059836,0.6152808980808344
sample_0004,0.0,0.37551445194653105,1.4337045532281412
sample_0005,0.0,0.41811664615358624,0.7914821947107872
sample_0006,0.0,0.22218638445649827,0.43336341727790595
sample_0007,0.0,0.32818734858717236,1.8660796951286707
sample_0000,10.0,0.448327830859593,6.345535005568411
sample_0001,10.0,0.4476666407925742,4.074592735417518
sample_0002,10.0,0.3914673221962793,6.206340653737787
sample_0003,10.0,0.38329183203833445,5.1255191708415655
sample_0004,10.0,0.43955824630601065,6.155521836691179
sample_0005,10.0,0.49757860813822063,5.725630242164025
sample_0006,10.0,0.38048230537346434,5.7091187058110915
sample_0007,10.0,0.358904983316149,6.913374305669614
sample_0000,50.0,0.6430056095123291,31.808826450633283
sample_0001,50.0,0.6868123114109039,35.099994377450365
sample_0002,50.0,0.6342042173658099,18.62220820666653
sample_0003,50.0,0.6269735566207341,36.14414807857339
sample_0004,50.0,0.557145391191755,29.060738976492758
sample_0005,50.0,0.6342561159815107,21.1274994539342
sample_0006,50.0,0.6930700710841587,35.360941333569976
sample_0007,50.0,0.5492958341326032,24.823152782819566
sample_0000,100.0,0.7002177919660296,30.140427346404735
sample_0001,100.0,0.6962675111634391,111.34993736199374
sample_0002,100.0,0.6725608791623797,47.56619686904208
sample_0003,100.0,0.6317127261843,86.55470712916906
sample_0004,100.0,0.6284787399428231,28.686872227089754
sample_0005,100.0,0.6982410464968,55.891674239872756
sample_0006,100.0,0.7053372008459908,42.45118751827225
sample_0007,100.0,0.6352469580514091,35.001765954467075
